Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,YearMonth,DayOfWeek,Hour
537017,22198,SMALL HEART FLOWERS HOOK,5,2010-01-03 08:57:00.000000,0.85,12780,United Kingdom,4.25,2010,1,2010-01,6,8
537289,21755,LOVE BUILDING BLOCK WORD,5,2010-01-03 09:46:00.000000,5.65,12407,United Kingdom,28.25,2010,1,2010-01,6,9
537289,22726,ALARM CLOCK BAKELIKE GREEN,8,2010-01-03 09:46:00.000000,3.46,12407,United Kingdom,27.68,2010,1,2010-01,6,9
537289,22198,SMALL HEART FLOWERS HOOK,47,2010-01-03 09:46:00.000000,0.85,12407,United Kingdom,39.949999999999996,2010,1,2010-01,6,9
537289,22383,LUNCH BAG SUKI DESIGN,12,2010-01-03 09:46:00.000000,1.76,12407,United Kingdom,21.12,2010,1,2010-01,6,9
537289,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2010-01-03 09:46:00.000000,4.96,12407,United Kingdom,14.879999999999999,2010,1,2010-01,6,9
537289,22423,REGENCY CAKESTAND 3 TIER,9,2010-01-03 09:46:00.000000,12.02,12407,United Kingdom,108.17999999999999,2010,1,2010-01,6,9
537142,22384,LUNCH BAG PINK POLKADOT,19,2010-01-03 10:53:00.000000,1.53,12422,United Kingdom,29.07,2010,1,2010-01,6,10
537142,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2010-01-03 10:53:00.000000,4.06,12422,United Kingdom,12.18,2010,1,2010-01,6,10
537142,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2010-01-03 10:53:00.000000,3.07,12422,United Kingdom,3.07,2010,1,2010-01,6,10
537142,22752,SET 7 BABUSHKA NESTING BOXES,6,2010-01-03 10:53:00.000000,7.58,12422,United Kingdom,45.480000000000004,2010,1,2010-01,6,10
537142,84879,ASSORTED COLOUR BIRD ORNAMENT,17,2010-01-03 10:53:00.000000,1.55,12422,United Kingdom,26.35,2010,1,2010-01,6,10
537142,POST,POSTAGE,1,2010-01-03 10:53:00.000000,16.81,12422,United Kingdom,16.81,2010,1,2010-01,6,10
537142,22730,ALARM CLOCK BAKELIKE IVORY,2,2010-01-03 10:53:00.000000,4.01,12422,United Kingdom,8.02,2010,1,2010-01,6,10
537142,22382,LUNCH BAG SPACEBOY DESIGN,1,2010-01-03 10:53:00.000000,1.59,12422,United Kingdom,1.59,2010,1,2010-01,6,10
536720,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2010-01-04 09:50:00.000000,5.39,12831,Switzerland,10.78,2010,1,2010-01,0,9
536720,22632,HAND WARMER RED POLKA DOT,1,2010-01-04 09:50:00.000000,1.73,12831,Switzerland,1.73,2010,1,2010-01,0,9
538167,85099B,JUMBO BAG RED RETROSPOT,5,2010-01-04 14:41:00.000000,2.05,12834,United Kingdom,10.25,2010,1,2010-01,0,14
538167,22423,REGENCY CAKESTAND 3 TIER,15,2010-01-04 14:41:00.000000,13.01,12834,United Kingdom,195.15,2010,1,2010-01,0,14
538167,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2010-01-04 14:41:00.000000,4.76,12834,United Kingdom,57.12,2010,1,2010-01,0,14
538167,20725,LUNCH BAG RED RETROSPOT,1,2010-01-04 14:41:00.000000,1.63,12834,United Kingdom,1.63,2010,1,2010-01,0,14
536409,22752,SET 7 BABUSHKA NESTING BOXES,10,2010-01-04 15:41:00.000000,7.5,12357,France,75.0,2010,1,2010-01,0,15
536409,22727,ALARM CLOCK BAKELIKE RED,19,2010-01-04 15:41:00.000000,3.97,12357,France,75.43,2010,1,2010-01,0,15
536409,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2010-01-04 15:41:00.000000,2.47,12357,France,59.28,2010,1,2010-01,0,15
538350,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2010-01-05 08:50:00.000000,2.66,12496,United Kingdom,37.24,2010,1,2010-01,1,8
538350,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2010-01-05 08:50:00.000000,4.36,12496,United Kingdom,4.36,2010,1,2010-01,1,8
538009,47566,PARTY BUNTING,3,2010-01-05 10:38:00.000000,4.68,12409,United Kingdom,14.04,2010,1,2010-01,1,10
538009,22386,JUMBO BAG PINK POLKADOT,6,2010-01-05 10:38:00.000000,2.04,12409,United Kingdom,12.24,2010,1,2010-01,1,10
538009,22748,POPPY'S PLAYHOUSE KITCHEN,5,2010-01-05 10:38:00.000000,2.19,12409,United Kingdom,10.95,2010,1,2010-01,1,10
538009,23166,MEDIUM CERAMIC TOP STORAGE JAR,8,2010-01-05 10:38:00.000000,1.23,12409,United Kingdom,9.84,2010,1,2010-01,1,10
538009,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-01-05 10:38:00.000000,2.78,12409,United Kingdom,5.56,2010,1,2010-01,1,10
538009,DOT,DOTCOM POSTAGE,3,2010-01-05 10:38:00.000000,16.26,12409,United Kingdom,48.78,2010,1,2010-01,1,10
537592,22198,SMALL HEART FLOWERS HOOK,1,2010-01-06 10:36:00.000000,0.92,12450,United Kingdom,0.92,2010,1,2010-01,2,10
537592,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2010-01-06 10:36:00.000000,3.61,12450,United Kingdom,32.49,2010,1,2010-01,2,10
537592,21212,PACK OF 72 RETROSPOT CAKE CASES,14,2010-01-06 10:36:00.000000,0.59,12450,United Kingdom,8.26,2010,1,2010-01,2,10
537592,85099C,JUMBO BAG STRAWBERRY,4,2010-01-06 10:36:00.000000,1.77,12450,United Kingdom,7.08,2010,1,2010-01,2,10
537636,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2010-01-06 11:52:00.000000,4.4,12792,United Kingdom,13.200000000000001,2010,1,2010-01,2,11
537636,22633,HAND WARMER UNION JACK,16,2010-01-06 11:52:00.000000,1.68,12792,United Kingdom,26.88,2010,1,2010-01,2,11
537405,22748,POPPY'S PLAYHOUSE KITCHEN,8,2010-01-07 10:36:00.000000,2.16,12594,United Kingdom,17.28,2010,1,2010-01,3,10
537405,22197,POPCORN HOLDER,1,2010-01-07 10:36:00.000000,0.9,12594,United Kingdom,0.9,2010,1,2010-01,3,10
537911,23167,SMALL CERAMIC TOP STORAGE JAR,45,2010-01-07 13:19:00.000000,0.93,12628,Germany,41.85,2010,1,2010-01,3,13
537911,23300,GARDENERS KNEELING PAD CUP OF TEA,18,2010-01-07 13:19:00.000000,2.22,12628,Germany,39.96,2010,1,2010-01,3,13
537378,22197,POPCORN HOLDER,1,2010-01-07 20:15:00.000000,0.9,12593,United Kingdom,0.9,2010,1,2010-01,3,20
537378,84997D,BLUE 3 PIECE POLKADOT CUTLERY SET,21,2010-01-07 20:15:00.000000,4.08,12593,United Kingdom,85.68,2010,1,2010-01,3,20
537168,21212,PACK OF 72 RETROSPOT CAKE CASES,53,2010-01-08 13:21:00.000000,0.5,12485,United Kingdom,26.5,2010,1,2010-01,4,13
537168,22197,POPCORN HOLDER,10,2010-01-08 13:21:00.000000,0.85,12485,United Kingdom,8.5,2010,1,2010-01,4,13
537549,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2010-01-08 13:30:00.000000,3.55,12574,United Kingdom,7.1,2010,1,2010-01,4,13
537549,22423,REGENCY CAKESTAND 3 TIER,1,2010-01-08 13:30:00.000000,12.53,12574,United Kingdom,12.53,2010,1,2010-01,4,13
537654,22622,BOX OF VINTAGE ALPHABET BLOCKS,3,2010-01-10 11:27:00.000000,5.25,12355,United Kingdom,15.75,2010,1,2010-01,6,11
537654,22469,HEART OF WICKER SMALL,1,2010-01-10 11:27:00.000000,1.54,12355,United Kingdom,1.54,2010,1,2010-01,6,11
536693,23167,SMALL CERAMIC TOP STORAGE JAR,10,2010-01-11 11:53:00.000000,0.93,12500,United Kingdom,9.3,2010,1,2010-01,0,11
536677,85099B,JUMBO BAG RED RETROSPOT,3,2010-01-11 12:53:00.000000,1.77,12817,United Kingdom,5.3100000000000005,2010,1,2010-01,0,12
537409,23298,SPOTTY BUNTING,1,2010-01-11 16:34:00.000000,5.17,12381,Switzerland,5.17,2010,1,2010-01,0,16
537409,20727,LUNCH BAG BLACK SKULL,2,2010-01-11 16:34:00.000000,1.52,12381,Switzerland,3.04,2010,1,2010-01,0,16
537847,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-01-12 08:25:00.000000,3.93,12834,United Kingdom,3.93,2010,1,2010-01,1,8
537847,22423,REGENCY CAKESTAND 3 TIER,10,2010-01-12 08:25:00.000000,12.81,12834,United Kingdom,128.1,2010,1,2010-01,1,8
537124,48187,DOORMAT NEW ENGLAND,8,2010-01-12 08:57:00.000000,7.77,12730,United Kingdom,62.16,2010,1,2010-01,1,8
537124,23166,MEDIUM CERAMIC TOP STORAGE JAR,1,2010-01-12 08:57:00.000000,1.22,12730,United Kingdom,1.22,2010,1,2010-01,1,8
537124,22726,ALARM CLOCK BAKELIKE GREEN,5,2010-01-12 08:57:00.000000,4.09,12730,United Kingdom,20.45,2010,1,2010-01,1,8
538100,22727,ALARM CLOCK BAKELIKE RED,19,2010-01-13 19:07:00.000000,3.84,12670,United Kingdom,72.96,2010,1,2010-01,2,19
